review,sentiment_score,sentiment
chris columbous is keeping it real and very true to the book in the nd movie i am thrilled through what he did and even though the book was my least favorite of the  that are currently released the movie was so good the dvd version has so many cool effects youd love it too then emma watson  year old dan radcliffe and  year old rupert grint star in this and are great actors they truly make this movie worthwhile since chris is no longer directing them  i dont know if the rd movie will be this goodso watch this and enjoy it while you can good if you read the books or even if you didnt,0.9821,Positive
i wont bother to restate all the great things that have been said beforeive owned this for several years and the bottom line is that i am extremely happy with it the only issue ive noticed is that over time the paper guide that runs perpendicular to the cutting edge drifted ever so slightly outofsquare its understandable that with continuous use pushing paper against that edge simply shifted it outwards a bit the shift was only perhaps mm which is hardly noticeable except to the perfectionist like myself i was able to realign the guide with a bit of manually applied pressure in the opposite direction and its back to functioning as expected as i said this was a minor minor issue and it was easily resolved id definitely recommend this anyone in need of clean professional cutting,0.968,Positive
quality wise unit was ok tried to use it with several different lenses but unit would not focusthere is no means on the unit to focus iti found the unit worthless,0.0341,Neutral
dont know if all the original tracks are like this or the other reissues the foot snapped off on mine then i returned it for an exchange shortly after while i was transforming it i was sliding one of tracks hands out and one of the sliding side pegs that held the hand in place snapped it resulted in the hand coming off a great while after that a peg that held the whole upper car rear on back snapped off completely while i was transforming him the toy is cool but the plastic is too cheap buyer beware,0.8316,Positive
i bought this product for my rv i have sleeped in a recliner for about  years and hated sleeping in our rv i had to take pm medication to sleep no longer i sleeped wonderfully all through the night without any pm medication finally i can enjoy our camping trips and feel like i can go for more than a weekend best  that i have spent in a long time,0.8255,Positive
it could be the worst software program i have every purchasedfinally after hours of work i printed the trading card its not that its hard to use very easy but has so many bugs in it i had to start over at least  times it would not let me save the information as i went so at various stages of the program id get the dreded this program has preformed an illegal action losing all the information and starting over over over over again it is also very cheaply made the developers might want to take up bartendingi emailed them to say i would be sending it back only after i broke it in halfdont want another consumer to repurchase it,-0.9418,Negative
i have been reviewing the literature of knowledge management km for over a year i am surprised how much is written about km but how little it is employed in the workplace learning place and government the complete guide is a fine introductioneven though it is five years old providing the core concepts and a wellrounded glossary of kmnow if we could only get the decisionmakers to collaborate with us firestarters and implement km we wouldnt be idiots for lack of access to knowledge resources,-0.0772,Negative
this  wolf  moon shirt is simply amazing everything i have read about it does not even come close to explaining this thing and how it will change your life words can not describe it i am getting one for every man woman and child i know,0.5859,Positive
i had timex watches beforei was not going to buy timex again because the gold tone on  watches pealed offso when i saw the timex all stainless i could not go wrongi only wish that the band was adjustable there for i gave it  stars pete,0.4019,Positive
i just finished reading ms akbaris book and i had to let everyone know just how disappointed i am this book seems to be nothing more than just common sense and a lot of self congratulation it was vague on almost every point on which i wish she would have expanded the actual information that she gave was very limited and she did not bother to illustrate literally any of her points additionally i am still not sure just what her program was and if i do get it what makes it so revolutionary spare yourself the time and money of reading this book and purchase something else,0.2455,Positive
the family man is a wonderful film to see december  or th with the whole family nicholas cage is great and tea leoni is stunning as a suburban wife and mother of two with jack campbell cage who is a wealthy new york businessman who finds that his world is changed when he catches a glimpse of what his life would be like if he had married his highschool love tea leoni the only part i wish could have been better was at the end when cagenevermind i wont spoil it see the family man,0.9756,Positive
the christmas carol by c dickens has become a traditional read at christmas time for me in the past few years the story really embodies what the christmas season is all about and if youre going into the season feeling stressed and humbugged then this story will elevate your spirits no pun intended i think it would be a great tradition to start each year with your children or grandchildren i highly recommend this book,0.5849,Positive
many of us love the beautiful biblical story of ruth but this dvd is not that it takes immense creative license from the very first scene by fabricating the beforeruth history then continues to indulge by creating the main two character ruth and boaz into angry characters sad to say this movie will not please anyone who loves to watch biblically sound films,0.6915,Positive
we tried these when my todder started to be able to pull out simpler socket protectors first they wouldnt go into all the sockets sometimes theyd work on one socket in a pair but not the other so i dont htink that was user error or some problem with the fixture second my  year old was able to figure out the mechanism and strong enough to pull them out within  minutes,-0.3919,Negative
i bought the pelican stealthlite  recoil led submersible for snorkeling at night after using it one it started flashing on and off and turning on even with the switch off when i contacted pelican about this they told me i had bought the pl that this one wasnt waterproof and that only the n was waterproof to  if pelicans website makes this distinction it couldnt have been less clear when i bought my light and the light itself doesnt tell you if youve bought the pl n or the plcbottom line it seem the only way to tell if your  light is going to be waterproof is to get it wet,0.3197,Positive
the last mistress is a raw savage romantic story set in  paris the photography is magnificent  the acting masterful and the soundtrack is haunting its right up there with the great lovehate stories of all times sans the sentiment and cloy  o the costumesit is french with english subtitles,0.765,Positive
the verdict is finally out on this album its been swallowed and the aftertaste is not very good i agree with most that the album starts off strong and the first three songs are cute but cute is not going to make me listen to this album for years to come like all of her previous albums i recently read a review in the washington post that said that shania tries too hard and that faith does it just right i couldnt disagree more coming out and trying to be a mississippi girl after all shes been through is a joke and nobody is going to buy that bottom line wait for the video whoops there is no video the radio will suffice or do what i do and subscribe to rhapsody music cheers ps if you didnt find my review helpful you can suck my big one,0.959,Positive
i loved this booki am having my husband read it as well and then we are going to take the test togethereven if you are not having problems in your life it helps you keep a steady pacealso i liked the added bonus of love lang for kidsalso helpful,0.9725,Positive
marvin redpost is a thirdgrader at dogwood elementary school this week has been a specialweek at dogwood elementary everyday they have worn something outrageous such as socks that do not match and today is hole day every oneincluding the teacher and principalis wearing clothes with holes in them the only problem is that there is going to be a suprise visit from the president of the united statesthis is a great chapter book for beginning readers even though the language is simplelouissachar makes an interesting and humorous tale that young readers will enjoy marvin redpost and the other kids in mrs norths thirdgrade class are characters that almost any young reader will identify with and enjoy reading about,0.8934,Positive
this will supersede my glowing review that i posted below since the honeymoon wore off i find it loses about  to  mins per week and i keep it wound by activity except when im sleepingthe band has also broken x and thats just poor craftsmanshipthe band also comes unclasped if i shake my left arm a bit falls right offthe only thing i can say for this shiny piece of crap is it looks good but so does a fake ferrari or a  whore from  yards awayprior review belowi bought this watch about  mos ago now and i love it tells time perfectly looks great feels great and just gets the job done only criticism is the supposedly magnified date indicator is still pretty small to readok now that ive owned this beautiful watch for over a year i find it loses a couple minutes here and there and i have to reset the time about once a month maybe im not waving my arm around enough to keep it wound up but it is annoying to have to reset the time,0.9156,Positive
interesting movie  sir guy grand the richest man in the world adopts a homeless boy youngman together they set out to prove that anyoneand anythingcan be bought with money peter sellers  ringo starr,0.8689,Positive
i like the way that this product feels on the skin its clean and fresh smelling and leaves my face feeling soft and very smooth i havent had any negative reactions to it like some of the other reviews said ive been happy with this product,0.9451,Positive
musically this is an awesome cd every song on this cd is awesome the only thing is that this really isnt a look back at the last ten years i mean some of it is but alot of the songs are new i mean dont get me wrong all of the new songs are great and worth the money also there is a problem with the track listing with the cd all of the songs on the back of the cd are in the album but in a different order also blazes juggalo anthem song is put in the middle and is not even listed but its a phat song so its all good the new songs are really good such as icps new one its time and anybody killas hollowpoint which is my favorate track on the cd there are also some cool old tracks like project born with esham and myzery any juggalos will dig this peace mcl,0.9875,Positive
first off i would like to say im a huge fan of martial arts and a big fan of donnie yen i borrowed this movie from my father and i must say its terrible the movie started off ok and then it went downhill the story line didnt make much sense and fighting was lame i dont know what it is with the movies that yen is in but they havent been good plus they didnt show him much in the movie to begin with im glad i didnt buy this movie it was really boring dont waste your money i rather watch ip man,0.3601,Positive
this media is the best presentation of the bible it brings the books of the bible to life whether you are reading along with it or listening while driving the cast used is extraordinary its hard to believe that so many prominent religious leaders stage and movie actors came together to produce this product i will treasure my copy and purchase others for gifts in the near future,0.8214,Positive
very bad acting mostly about drugs not horror but somegore and nudity stupid story bad ending watch only ifyou are thinking of doing drugs some crazy hallucinations,-0.9359,Negative
im taking paleobiostrat with a pretty well known and respected professor and he loves the older edition of this book absolutely hates the writing format of this new edition,0.8363,Positive
i bought this to make big batches of cheese and discovered in my first batch that the handle filled up with milk this contaminated the batch of cheese and the milk coagulated inside the handleamazon sent me a replacement that ended up being worse than the first i took it to a welder friend of mine and she could not even fix because if she tried to heat it it would just break there are holes all around the joint between paddle and handle and in the top of the handle it is totally unsanitaryi am trying to get bayou classic to refund me directly but we will seesome people seem to be very happy but why risk it just to save a few bucks,0.8621,Positive
this is a musthave for a marx brothers fan for the novice five of their best films to be enjoyed at any time for the seasoned connoisseur the sixth disc contains rare today show interviews and home videos,0.8689,Positive
needed an easier way to make telemarketing calls without holding phone in my hand all day this headset is a great sales aid and priced right for the quality of the product works great and is nd set purchased in two years,0.9349,Positive
unless you have small ears this product may not be for you not very comfortable the sound quality is what you would expect from a  pair of headphones this isnt a hidden gem that you spend little money for and get a good procut you get what you pair for with these,-0.0049,Neutral
i bought this set base on a lot of users reviews saying it charge their ipod what i didnt realized is what model ipod they have they might have a g nano i tried the charger on the car it works only you can not play and charge at the same time the house travel charger doesnt work this is more important to me for my g nano its not worth returning the postage cost more than the items,-0.1553,Negative
when this product was first received it was noted that the connections on top were too close together for easy connection the high amperage  needs a substantial connection and it it difficult to do so with this configuration i would have sent it back except all the competitive units look similar i finally designed a connection which would be reliable and not stress the connection points the item was used for about  days with loads up to about  amps and then failed when the microwave oven was turned on this had been used many times before at that time the inverter drew about  amps through this unit i had the device for several months at that time so it was too late to return it to the vendor and it was impossible to find the route to the manufacturer to get anything done that way the coil appears ok the thing makes the normal snap sound when it operates but the contacts do not make up,0.354,Positive
windows vista is a bit challenging for the first time user the book i ordered really helps me to navigate through the os thank you for a great product,0.8777,Positive
i agree with all of the positive reviews for this music as a drummer i am fascinated by the playing of bob moses bright size life was one of my first exposures to jazz music its  years later all of the jazz genres have been taken into account and this drumming still represents a peak of beauty to me missouri uncompromised and the concluding drum solo on the ornette tune take the cake bob moses,0.9493,Positive
i do no know who will see this but i would very much like to return these headphones they work ok i guess but the problem comes with the agc the agc clips the audio no matter what the input level i turn it up and it turns it down i am not trying to blow my ears out mind you i am simply playing my computer music and mixing it with my normal electric guitar amp a funtion that i use all of the time with standard headphones how ever with these wireless the agc makes it pointless who can i talk to about a return i have purchased many a product from amazon with no problem but now that there is a problem i see no avenue to find resolution can anyone at amazon please help me please contact me via this email address,0.1822,Positive
this book starts with coach grudens childhood and his involvement with sports then takes you through his high school and college years as a player then it dives right in with the beginning of his coaching career as a high school football coach myself this book has motivated me to be the best coach i can possibly be by being a constant student of the game this book is truly a must read for any coach on any level,0.8779,Positive
i found this book to be very touching and meaningful it really emphasizes finding and using gods will in your life sure the writing and plot line were predictable but thats not as important here as hearing the message of the story the characters are wonderfully thought out i really cared about all of them by the end and wished the book didnt have to end really wonderful,0.9554,Positive
i am a fan of catherine coulter but it is just as well that i read this book after many others of hers or i may not have become a fan it was pure drivel and very difficult to read i hoped that maybe it had a slow start but no such luck it was bad from start to finish read her other books but skip this one,0.3422,Positive
if you liked megashark vs giant octopus this is for youits cheesy s drek with lots of women showing theirassetsits made to be cheesy and is worth it if for nothing but the chariot raceits possibly the greatest chariot race ever filmed and i include both versions of ben hur that ive seen in thati havent looked at the extras yet but the film itself is as good as i rememberits spotty it gets slow at times but theres enough laugh out loud moments for it to be worthwhileand if the rest of the movie were terrible it would still be worth it if for nothing but the chariot racethats about funny,0.9636,Positive
i had to return the first one due to misaligned sights i was getting double vision no matter how i adjusted the lenses the new ones are a lot betterits a great deal for this magnification and aperture i took it to yellowstone and was very happy with the performance its bright enough even for basic astronomy one star removed for the mixed quality otherwise the one i have is easily  stars,0.9387,Positive
dang i played this game hours on end as a kid and everytime i have the honor and pleasure of playing it again it never lets me down one day ill buy it and beat it but until then i am not giving up on getting a nintendo again and buying this game i must before its too late,0.2723,Positive
i purchased this headset about two months ago the first time i used it it was very scratchy both on my end and the person who i was calling i only paid about  for it so i didnt return it it wasnt worth the hassle now i understand why the price was so discounted i wouldnt recommend this headset to my worst enemy you really do get what you pay for if i could have rated this zero stars i would have,-0.8866,Negative
this movie may be unfamiliar to american viewers who watch american movies only but this is a very humorous movie starring some of russias best comedians  yuri nikulin and andrei mironovin bulgaria they used to show it on every new years daythe plot is like this a russian turist nikulin in istanbul slips and falls and says chort poberi which means something like damn or hell or go to the devil in russian languagethis happens to be a password for some bandits who await their man mironov to smuggle diamonds in the cast of his wouldbe broken arm without realizing what is happening nikulins character smuggles the diamonds then he has encounters both with the russian police and with the bandits and there is a happy endwatch this film im sure you will enjoy it in bulgaria you can legally buy it on a dvd for just,0.6474,Positive
this has really saved our carpets and floors but the material is somewhat thin and has a tendendcy to fold over and wrinkle up this can cause a few minor tripping accidents if left that wayoverall it does what is claims but it could be a little thicker material,-0.2272,Negative
the author not only argues for feminism but she does so in a unique manner and innovative approach by arguing for feminism across borders she compares and defines literary and national borders this book is extremely thorough on all aspects of chicana feminist writing available by engaging historical theories as well as contemporary notions to really grasp the experience the author has certainly covered her basis in terms of depth substance truth and validity,0.9051,Positive
sunglasses arrived wrapped in plastic and had no scratches on the lenses lenses are polarized and are my first pair of polarized ones but seem great the arms are a tad too tight behind the ears where they rest if worn all day i tend to either have to take them off after an extended amount of time over six hours or i will get a headache which happened during an allday road trip overall the sunglasses are great for physical activity and havent given me any problems,0.7469,Positive
ok whoever said that john deacon sang youre my best friend is insane john deacon never sang lead vocals on any queen song much less that one because he thought his voice couldnt compare to brianrogers and obviously freddies and if hed ever sang im sure hed be much worse than roger besides cant you tell that its freddies singing youre my best friend just cuz john wrote the song doesnt mean he sang it,0.926,Positive
ive spent a long time with this book because i keep rereading passages i love i quote bennettgoleman i try to incorporate her themes in my own work ive brought this to my coaching buddies as we wrestle with theory and practice bennettgoleman isnt the only person to combine emotional intelligence psychological theory and buddhist practice she simply does it better,0.8957,Positive
not only does this movie not contain the original version as filmed by kubrickit is full screen can you imagine not having a widescreen version of this film dont buy it,-0.2411,Negative
you would think after all this time that maiden would burn out no way with bruce and adrian back into the lineup iron maiden delivers a really power house of an album this album is worth buying i was unsure about buying this one but when i saw them on their brave new world tour and they played half the album live i was sold immedietly it was like a rebirth of their music i went out the next day and bought it this is definently one of the best you would be stupid not to buy it rock on,0.91,Positive
the reviews reproduced here are a tribute to tom barbash just as barbash wrote the book as a tribute  and an exhoneration  to his college buddy howard lutnick therein lies the tale barbash and lutnick have artfully exploited the suffering of others  one to write a book and to promote a novel the other to strike an innocent pose it worked look at the reviews that blindly defend the book and charge that any criticism of it is tantamount to insensitivity toward the victims of this is wonderful propaganda indeed and if i were to grade it on that scale the book would get five stars lutnicks obsession with looking good and barbashs equally atrocious commitment to whitewashing exploits grief as it turns anger onto others sickening,-0.9517,Negative
lori l lake brings together two characters that you immediately fall in love with dez reilly is a veteran police officer who answers a routine call one evening that changes her life forever  and introduces her to jaylynn savage an idealistic young woman with a gentle soul this book has everything  action drama comedy and of course a wonderful romance that touches your heart very highly recommended,0.9588,Positive
another dickens masterpiece this book expresses mr dickens opinion about a legal system that has become self serving and self justifying the story is set in old england but could just as easily apply to todays involuted tort system especially as it applies to class action suitsmr dickens distrust and disdain for self serving people in the legal profession comes outthis book shows how destructive it is to place ones hopes in that which is undeserving,-0.8338,Negative
like the crazy frog or anything based one a onejoke innovation this is great for about  seconds after that its irritating and worse than childishsave your money and give to charity instead this is needless wasteful trash with little to no shortlongterm appeal anyone saying different is selling you something most probably this collection of shocking aural assault,-0.6022,Negative
i liked this movie from its excitment it had been very interesting and fiction like a book it touched my heart and went somewhere no one could my friend and i loved this movie our final words are that we thought it was a good idea to have a new movie from the old parent trap,0.9299,Positive
we were delighted when we purchased this machine it made fantastic espresso and cappuccino etc and was so easy to operate but about a month after the warranty expired it stopped working despite our careful maintenance an electronic malfunction occurred and the gears continued to operate and torqued the mechanism out of line the estimate for repair was  its unacceptable to spend this kind of money for an appliance and then to face this kind of repair bill within less than two years and the people at gaggia were far from sympathetic my recommendation is to steer clear of this machine,0.7687,Positive
i bought and read this book soley because it belonged to the star wars universe after all the hype when it came out i was highly dissappointed i believe that steve perry has a lot of potential as an author but he is no timothy zahn i did not feel that he was as familiar with the characters as he should have been i would still recomend this to diehard star wars fans it ties the first two movies together but i would not recomend it to a firsttime star wars reader there are alot of obscure references and they might be put off by perrys bland writting style,-0.9423,Negative
i have a month old and a year old they both love this video my year old sings the songs and now knows all the planets and what order they are in from the sun this video is awesome and will get your kids attention,0.8519,Positive
i figured for the price i would gamble on ordering it i was very surprised by the quality of this it is pretty heavy duty actually i hung a  tv with it installation was simple and removing and reinstalling tv is simple as well i would definitely recommend this much better quality then a lot of similar wall mounts that i have seen in stores that cost much more,0.9273,Positive
this is perhaps the worst album of the year i had high hopes but upon first listen i discovered this album really lacked everything previous albums had even clayman which i also thought was a very horrible album beats this its main problem is its not in flames it sounds like some numetal band trying to be something their not i do like numetal but in flames isnt that type they never have been and they shouldnt have changed they made a big mistake with this album they also created a void in fans with this album even if their next album were back to basics it wouldnt be able to save this fan i like change but i like change for the better,0.9273,Positive
how many times and how many books must the episcopal churchs resident athiest write to get out his point  more of the same  christ was a social activist christianity must let go of faith and the divine divinity is primative superstition liberalism is wonderful homosexuality and free sex are ok  feel good social activism drivel from this luther wannabe diguised as scholarship absolutely nothing new or refreshing here  same spong  same message,0.969,Positive
this album was recorded a couple of years ago and sold extremely wellthe sound is near perfect and russell s voice although still young in terms of classical voices still sounds strong and dramatic a very good cd,0.8805,Positive
i have sensetive skin and a thick beard i had been using the schick quatro and not necessarily thrilled with iti tried the m power is this thing just a sick joke i bled all over the place like a stuck pig unless there is a trick to using this thing and yes i turned it on it feels more like a cheese grater than a razor if there is a trick to it please let me know,0.4756,Positive
by looks not impressive i cannot judge the light and sound feature because i did not open the package made of plastic in china though brio and therefore in my opinion too expensive,-0.4023,Negative
i got this toy from the store and found out that it never goes off i spent  in batteries until i decided to just stop buying them the only good thing i have to say about it is that it is durable i stepped on it alot and it never broke,0.4646,Positive
used this item in my car briefly it stopped working after falling from my seat to the floor i would recommend a more robust cd player especially if you plan on travelling with it,0.4005,Positive
i received the video unopened but when i opened it there was some kind of white stuff on it and i tryed to play it and it played part way threw then started sticking or freezing up then would skip forward and play for a bit then do it again,0.8271,Positive
great great great everyone always wants to make more money ill start investing when i make more moneyi barely make ends meet now after you read this book you will understand that its not how much you makeits what you do with what you make brilliant,0.9328,Positive
para mi una de las mejores fragancias de la guess y las uso a cada momento del dia es extraordinaria,0.0,Neutral
heres a werewolf movie done with some style and some class this may be the only werewolfbusiness world story combination it features effective villains played by james spader and christopher plummer and the always unpredictable jack nicholsonnicholson has the lead role naturally and is refreshingly lowkey especially for him i dont believe he ever raised his voice in this movie acting very subdued throughoutthere isnt as much action as you see in most modernday horror movies but yet this is such an intense story that you dont lose interest its pretty good in the visual department too and it doesnt hurt to have michelle pfeiffer to ogle,0.8883,Positive
dont get me wrong ive liked the bulletboys since i first saw their video for smooth up in ya in  on mtv but this album is poorly done why not just make a compilation of greatest hits and be done with it the songs do not sound the same as toriens voice has gone to crap and the music itself sounds like it was done in an oversized trashcanid suggest to others not to buy this album and instead purchase a good one like freak show or their selftitled masterpiece,0.9597,Positive
bought this for my granddaughter for christmas she has been wanting a vanity and she was delighted with this one when she opened it dad did have a little trouble with putting it together but im sure it was more from being tired from all the holidays and travel not the vanity,-0.0642,Negative
cujo has got to be the source of most fears of dogs and for good reason after youre done reading this book never again will you want to go near a saint bernard or any other wrongly termed dog again or at least for a long time the biggest plus to the book besides the movie is not having to hear the kid screaming and crying all the time i think that just got way too irritating for me as with all books cujo went into more details than the movie you learn more about the characters and what thoughts are running through their heads to run or not to run etcnatalie kilpatrick,-0.8221,Negative
upon the first couple of listens i did not like this cd i thought it sounded like one long song dont get me wrong i love pantera and own all their albums but after repeated listens i have realized that this album is great every song is good there is no filler just  or  flat out heavy tracks the best thing about this new album is that pantera will now tour with ozzy and i cant wait,0.9499,Positive
this is quite frankly the worst game i have ever purchased i had enjoyed knockout kings  so much that i ran in to get this expecting an even better game boy was i disapointed i played it for  minutes and realised i had just thrown money down the drain buy  used it is  times better this game is unplayable,0.73,Positive
am i right i think another case of my having too much hardware for this game phooey i think consoles are the way to go i mean youll always have a game that will play with pcs if you need to upgrade or if windows does their thing and comes out with something newall of a sudden your game is unplayable what a racquet,0.34,Positive
i have bought many boxes of these when i received a bad envelope in one box a manufacturing defect i called southworth and they shipped me a whole box as a free replacement i was amazed at their great customer service,0.6908,Positive
